"log_sqft_living","grade","condition","bedrooms","bathrooms","log_sqft_lot","sqft_above","sqft_basement","sqft_living15","floors","view","waterfront1","zipcode98125","zipcode98028","zipcode98136","zipcode98074","zipcode98053","zipcode98003","zipcode98198","zipcode98146","zipcode98038","zipcode98007","zipcode98115","zipcode98107","zipcode98126","zipcode98019","zipcode98103","zipcode98002","zipcode98133","zipcode98040","zipcode98092","zipcode98030","zipcode98119","zipcode98112","zipcode98052","zipcode98027","zipcode98117","zipcode98058","zipcode98001","zipcode98056","zipcode98166","zipcode98023","zipcode98070","zipcode98148","zipcode98105","zipcode98042","zipcode98008","zipcode98059","zipcode98122","zipcode98144","zipcode98004","zipcode98005","zipcode98034","zipcode98075","zipcode98116","zipcode98010","zipcode98118","zipcode98199","zipcode98032","zipcode98045","zipcode98102","zipcode98077","zipcode98108","zipcode98168","zipcode98177","zipcode98065","zipcode98029","zipcode98006","zipcode98109","zipcode98022","zipcode98033","zipcode98155","zipcode98024","zipcode98011","zipcode98031","zipcode98106","zipcode98072","zipcode98188","zipcode98014","zipcode98055","zipcode98039","lat1","lat2","lat3","lat4","lat5","long1","long2","long3","long4","long5"
7.07326971745971,7,3,3,1,8.63941082414049,1180,0,1340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5112,2257.31412544,107247.702876605,5095467.06091095,242091754.624352,-122.257,14946.774049,-1827347.75490859,223406054.47186,-27312954001.5662
7.85166117788927,7,3,3,2.25,8.88765269032559,2170,400,1690,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.721,2277.293841,108674.739386361,5186067.23825653,247484314.67684,-122.319,14961.937761,-1830129.26498776,223859581.564038,-27382280157.3315
6.64639051484773,6,3,2,1,9.21034037197618,770,0,2720,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7379,2278.90709641,108790.239077711,5193417.55406786,247922847.854336,-122.233,14940.906289,-1826271.79842334,223230680.73668,-27286155798.4866
7.58069975222456,7,5,4,3,8.51719319141624,1050,910,1360,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5208,2258.22643264,107312.726660199,5099586.62107398,242336435.902732,-122.393,14980.046449,-1833452.82503246,224401791.614198,-27465208481.0365
7.4265490723973,8,3,3,2,8.99714715151514,1680,0,1800,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6168,2267.35964224,107964.410612614,5140919.7472587,244794147.421268,-122.045,14894.982025,-1817858.08124113,221860489.525073,-27076963444.0875
8.59785109443369,11,3,4,4.5,11.5320415821625,3890,1530,4760,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6561,2271.10386721,108231.953006146,5157912.77565622,245806007.02795,-122.005,14885.220025,-1816071.26915012,221569775.192661,-27032620422.3806
7.44716835960004,7,3,3,2.25,8.82746811252065,1715,0,2238,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3097,2238.20771409,105888.935491284,5009573.77141198,237001432.253369,-122.327,14963.894929,-1830488.37497978,223918151.446152,-27391235711.9534
6.96602418710611,7,3,3,1.5,9.18101454259435,1060,0,1650,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4095,2247.66069025,106560.469494407,5051978.57849511,239511778.417164,-122.315,14960.959225,-1829949.72760587,223830300.932113,-27377803258.5113
7.48436864328613,7,3,3,1,8.91865027812686,1050,730,1780,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5123,2257.41865129,107255.152185686,5095938.96719196,242119780.990915,-122.337,14966.341569,-1830937.32852675,223991379.959977,-27402433450.1638
7.54433210805369,7,3,3,2.5,8.78874588193814,1890,0,2390,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3684,2243.76531856,106283.573115678,5034482.80477266,238475395.289593,-122.031,14891.564961,-1817232.56375579,221758706.987683,-27061436772.4139
8.17751582384608,8,3,3,2.5,9.18972941807206,1860,1700,2210,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6007,2265.82664049,107854.934165972,5133970.3647542,244380583.141555,-122.145,14919.401025,-1822330.23819862,222588526.944771,-27188075623.6691
7.05617528410041,7,4,2,1,8.69951474821019,860,300,1330,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.69,2274.3361,108463.088609,5172604.69576321,246681517.940947,-122.292,14955.333264,-1828917.61552109,223661993.037305,-27352072452.5181
7.26542972325395,7,4,3,1,9.89852526070631,1430,0,1780,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7558,2280.61643364,108912.662281625,5201211.31738883,248388007.430958,-122.229,14939.928441,-1826092.51341499,223201461.822201,-27281691477.0658
7.22256601882217,7,4,3,1.75,9.17781718027062,1370,0,1370,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6127,2266.96920129,107936.52449026,5139149.35959742,244688776.713704,-122.045,14894.982025,-1817858.08124113,221860489.525073,-27076963444.0875
7.50108212425987,7,3,5,2,8.48673398393153,1810,0,1360,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.67,2272.4289,108326.685663,5163933.10555521,246164691.141817,-122.394,14980.291236,-1833497.76553898,224409125.515378,-27466330508.3292
7.98956044933387,9,3,4,3,8.51719319141624,1980,970,2140,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5714,2263.03809796,107655.890573294,5121341.43281841,243629381.837178,-122.375,14975.640625,-1832644.02148438,224269812.12915,-27445018259.3048
7.54433210805369,7,3,3,2,9.5496656775798,1890,0,1890,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7277,2277.93334729,108720.519419453,5188980.33469582,247658096.720262,-121.962,14874.729444,-1814151.75244913,221257576.032201,-26985016488.0392
7.37775890822787,7,4,4,1,8.36637030168165,1600,0,1610,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6648,2271.93315904,108291.23963901,5161680.27914547,246030458.169413,-122.343,14967.809649,-1831206.73588761,224035325.688698,-27409153850.7323
